epoch,loss,lr,val_loss
0,4.96568133452,0.0020000000949949026,2.93328166707
1,2.67591059048,0.0020000000949949026,2.76677264486
2,2.44090665447,0.0020000000949949026,1.94809732725
3,2.36741282477,0.0020000000949949026,2.09417030139
4,2.27558723912,0.0020000000949949026,2.01260931413
5,2.22253923941,0.0020000000949949026,2.06532178737
6,2.16310508087,0.0020000000949949026,2.18883225333
7,2.04768063549,0.0004000000189989805,1.86132538319
8,2.02429411807,0.0004000000189989805,1.78951197186
9,2.01348582678,0.0004000000189989805,1.88809673253
10,1.99799692552,0.0004000000189989805,1.80397182987
11,1.99902951382,0.0004000000189989805,1.76718466098
12,1.97733123342,0.0004000000189989805,1.8203527303
13,1.95505898845,0.0004000000189989805,1.75493543489
14,1.94915806123,0.0004000000189989805,1.78762685903
15,1.94671882607,0.0004000000189989805,1.76642677374
16,1.92190484773,0.0004000000189989805,1.79078179401
17,1.9210255044,0.0004000000189989805,1.78139921728
18,1.90932307207,8.000000525498763e-05,1.75259175318
19,1.89799086605,8.000000525498763e-05,1.74225922557
20,1.89597821115,8.000000525498763e-05,1.70519966608
21,1.888615066,8.000000525498763e-05,1.71337105896
22,1.88173041823,8.000000525498763e-05,1.74143665439
23,1.88232591955,8.000000525498763e-05,1.72250754798
24,1.86664853117,8.000000525498763e-05,1.71998100796
25,1.87016408306,1.9999999494757503e-05,1.72577123677
26,1.86051654994,1.9999999494757503e-05,1.72338060713
27,1.86852343123,1.9999999494757503e-05,1.72342394079
28,1.86411226546,1.9999999494757503e-05,1.72530708296
29,1.86524971419,1.9999999494757503e-05,1.72367322183
30,1.86703770514,1.9999999494757503e-05,1.71265372208
31,1.86448351687,1.9999999494757503e-05,1.71594258193
32,1.86793463923,1.9999999494757503e-05,1.7208641178
33,1.85945334154,1.9999999494757503e-05,1.71535960571
34,1.85708717599,1.9999999494757503e-05,1.70996105584
35,1.8658956945,1.9999999494757503e-05,1.72333797474
36,1.86520552693,1.9999999494757503e-05,1.72333829438
37,1.8554674938,1.9999999494757503e-05,1.70983051031
38,1.8798096661,1.9999999494757503e-05,1.72190650304
39,1.85471367642,1.9999999494757503e-05,1.71678128435
40,1.8672287254,1.9999999494757503e-05,1.71884898956
41,1.85881917068,1.9999999494757503e-05,1.70707866866
42,1.86035206,1.9999999494757503e-05,1.72604875469
43,1.86385434493,1.9999999494757503e-05,1.71536764732
44,1.8583644804,1.9999999494757503e-05,1.71036727612
45,1.85932625741,1.9999999494757503e-05,1.70498890143
46,1.86909103254,1.9999999494757503e-05,1.7148841995
47,1.85940105026,1.9999999494757503e-05,1.72220445902
48,1.85683455648,1.9999999494757503e-05,1.71661839206
